date,cc_value_cr,dc_value_cr,ppi_value_cr,cc_outstanding,dc_outstanding,atm_count,pos_count,upi_banks,upi_value_cr,gdp_crore,
2016-04,23010.97,240013.23,4672.13,248.60,6711.87,213073,1403438,21,0.00,3563546.53,
2016-05,25244.35,235736.44,4995.01,251.48,6800.11,214213,1418324,21,0.00,3601660.67,
2016-06,24241.08,235948.09,5347.17,255.42,6911.42,215192,1432727,21,0.00,3639774.80,
2016-07,24633.66,236256.99,5340.49,259.44,6972.22,216030,1443899,21,0.38,3677888.93,
2016-08,26052.83,238027.99,5646.01,263.79,7124.66,217303,1461972,21,3.09,3716003.07,
2016-09,24482.96,237908.35,5628.24,268.57,7281.96,218542,1480309,25,32.64,3754117.20,
2016-10,30242.08,276722.73,6021.82,273.45,7482.79,219578,1512068,26,48.57,3794413.73,
2016-11,26698.70,155625.90,5074.41,277.83,7511.98,219973,1590714,30,100.46,3834710.27,
2016-12,31237.21,142965.33,9769.93,283.21,7644.31,219793,1767733,35,707.93,3875006.80,
2017-01,32862.22,200647.86,11000.78,288.46,7785.66,220402,2015847,36,1696.22,3957594.80,
2017-02,28895.21,228681.53,9628.01,290.79,7594.21,221302,2224977,44,1937.71,4040182.80,
2017-03,33619.61,261644.87,10677.08,298.42,7716.49,222475,2529141,44,2425.14,4122770.80,
2017-04,33375.63,254916.79,10371.12,303.74,7807.95,221959,2614584,48,2271.24,4084819.20,
2017-05,36401.59,254169.56,10669.36,308.56,7903.58,222813,2692986,49,2797.07,4046867.60,
2017-06,35750.31,263783.25,8507.07,314.78,7975.42,222926,2776949,52,3098.36,4008916.00,
2017-07,34214.59,262207.16,9856.47,320.57,8040.51,222653,2840113,53,3411.35,4058359.47,
2017-08,36603.33,270961.10,10287.62,326.46,8108.69,222568,2882422,55,4156.62,4107802.93,
2017-09,37776.11,278886.07,10977.33,333.43,8197.63,221722,2900038,57,5325.81,4157246.40,
2017-10,42259.99,294461.40,11697.66,338.70,8262.55,221314,2958301,60,7057.78,4217895.43,
2017-11,39616.60,285791.47,13321.40,347.76,8328.88,221350,2998733,61,9669.33,4278544.47,
2017-12,42197.73,304799.22,14334.48,354.96,8424.71,221832,3027382,67,13174.24,4339193.50,
2018-01,41778.04,296124.36,14771.22,362.38,8466.97,221620,3061817,71,15571.20,4421024.33,
2018-02,37981.37,284523.79,14958.58,369.35,8554.45,221687,3079487,86,19126.20,4502855.17,
